,0
areaacres,0.4728494385503952
lc_23,0.44153413778123163
lc_31,0.4363705103521687
lc_41,0.5703452722694209
lc_42,0.4198086188579149
lc_43,0.5972045084338315
lc_52,0.46754055123321514
lc_71,0.46241842051070936
lc_81,0.5135075747993181
lc_82,0.5625705306063447
lc_90,0.4611112621693447
lc_95,0.2999374624164828
week,0.03997545261773894
airtemp_narr,0.02361056013002827
precip3_narr,0.01550213841514525
humidity_narr,0.016064229126270035
cl_cover_narr,0.003202650600595547
sfc_runoff,0.056216815970589584
windspeed_narr,0.028976443167156418
wdirection_narr,0.006333850431937016
precip48_narr,0.028807629217140196
of_dist,0.6177412253124208
total Nitrogen Oxide in year,0.15024139098463385
